Vertecies;Edges;Dijkstra;FloydWarshall;BellmanFord;Danzig;
10;45;11760;24480;6400;35800;
60;1770;163940;5146880;149540;4769580;
110;5995;428340;32310700;462280;25707120;
160;12720;759820;94232480;964120;70197300;
210;21945;1113840;214281820;1671380;156303840;
260;33670;1597100;414441420;2555040;297271420;
310;47895;2162620;693000840;3374920;497659740;
360;64620;2606100;1096364360;4936580;787278480;
410;83845;3441820;1617692500;6147160;1156336040;
460;105570;3921460;2298433600;7668780;1663383280;
510;129795;4799740;3098231520;9018920;2353052620;
560;156520;5548180;4137156160;10569300;3047214300;
610;185745;6654920;5386452580;13573960;3901323880;
660;217470;8189880;6840669660;15746180;4995190680;
710;251695;8411420;8614605760;20160920;6328556180;
760;288420;10212320;10506510920;21661760;7900220260;
810;327645;10477020;12737892600;22931940;9501358880;
860;369370;12480120;15315991320;27997720;11302442560;
910;413595;12967500;18154402660;25810960;13544659080;
960;460320;15381340;21388998000;35389940;15886382740;
1010;509545;15696660;25007128120;38163460;19986906520;
